Statistics for ICV ML.  Version 1
Manager: RHEL64 W-2024.09-SP3-1.11364552 2025/02/11 
Flow=0
SharedRecipe=1
Subflows=
CMEM: 2148.0.0 6890 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2146.0.0 6886 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2004.0.0 6382 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 2002.0.0 6378 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 2000.0.0 6374 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 1998.0.0 6370 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.01
CMEM: 1996.0.0 6366 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 1994.0.0 6362 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 1898.0.0 6030 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.96 0.00 0.00
CMEM: 1896.0.0 6026 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 7.90 0.00 0.00
CMEM: 1894.0.0 6022 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.09 0.00 0.00
CMEM: 1892.0.0 6018 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.02 0.00 0.00
CMEM: 1890.0.0 6014 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.09 0.00 0.00
CMEM: 1888.0.0 6010 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.02 0.00 0.00
CMEM: 1886.0.0 6006 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.09 0.00 0.00
CMEM: 1884.0.0 6002 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.02 0.00 0.00
CMEM: 1882.0.0 5998 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.09 0.00 0.00
CMEM: 1728.0.0 5468 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.02 0.00 0.00
CMEM: 1726.0.0 5464 0:0 0:0 0:0 0:0 0:0 0:0 0:0 1:0:0:0 8.09 0.00 0.00
